
Idade; altura; peso; IMC; classeIMC
61;1.85;109.3;31.935719503287068;Obesidade Classe 1
60;1.71;79.02;27.02369959987689;Sobrepeso
60;1.55;74.7;31.09261186264308;Obesidade Classe 1
60;1.46;35.9;16.841808969787955;Abaixo do peso
60;1.58;97.1;38.89601025476686;Obesidade Classe 2
59;1.71;79.32;27.126295270339593;Sobrepeso
59;1.7;73.32;25.370242214532873;Sobrepeso
59;1.72;85.32;28.83991346673878;Sobrepeso
59;1.46;36.0;16.88872208669544;Abaixo do peso
59;1.83;104.7;31.26399713338708;Obesidade Classe 1
58;1.71;79.31;27.122875414657504;Sobrepeso
58;1.7;73.41;25.401384083044984;Sobrepeso
58;1.72;85.21;28.80273120605733;Sobrepeso
58;1.47;36.0;16.65972511453561;Abaixo do peso
57;1.71;79.3;27.119455558975414;Sobrepeso
57;1.7;73.5;25.432525951557096;Sobrepeso
57;1.72;85.1;28.76554894537588;Sobrepeso
57;1.75;110.0;35.91836734693877;Obesidade Classe 2
57;1.58;79.7;31.925973401698442;Obesidade Classe 1
57;1.47;36.0;16.65972511453561;Abaixo do peso
57;1.6;99.1;38.71093749999999;Obesidade Classe 2
56;1.71;79.29;27.116035703293328;Sobrepeso
56;1.7;73.59;25.463667820069208;Sobrepeso
56;1.72;84.99;28.728366684694432;Sobrepeso
56;1.59;75.8;29.982991179146392;Sobrepeso
56;1.47;36.1;16.706002128742657;Abaixo do peso
56;1.8;98.5;30.401234567901234;Obesidade Classe 1
56;1.59;98.0;38.764289387286894;Obesidade Classe 2
55;1.72;79.28;26.798269334775558;Sobrepeso
55;1.71;73.68;25.197496665640713;Sobrepeso
55;1.73;84.88;28.36045307227104;Sobrepeso
55;1.72;95.0;32.11195240670633;Obesidade Classe 1
55;1.7;160.0;55.36332179930796;Obesidade Classe 3
55;1.48;36.1;16.48100803506209;Abaixo do peso
54;1.72;79.32;26.811790156841536;Sobrepeso
54;1.71;73.82;25.245374645189973;Sobrepeso
54;1.61;78.1;30.1300104162648;Obesidade Classe 1
54;1.48;36.2;16.526661796932068;Abaixo do peso
54;1.61;100.3;38.69449481115697;Obesidade Classe 2
53;1.72;79.31;26.808409951325043;Sobrepeso
53;1.62;76.3;29.073311995122687;Sobrepeso
53;1.49;36.2;16.305571821089142;Abaixo do peso
53;1.62;101.7;38.7517146776406;Obesidade Classe 2
52;1.72;79.3;26.805029745808547;Sobrepeso
52;1.71;74.0;25.3069320474676;Sobrepeso
52;1.6;73.0;28.515624999999993;Sobrepeso
52;1.49;36.3;16.350614837169495;Abaixo do peso
52;1.64;105.1;39.07644259369423;Obesidade Classe 2
51;1.72;79.29;26.801649540292054;Sobrepeso
51;1.71;74.09;25.337710748606412;Sobrepeso
51;1.63;70.2;26.421769731642144;Sobrepeso
51;1.5;36.4;16.177777777777777;Abaixo do peso
51;1.75;91.2;29.779591836734696;Sobrepeso
51;1.7;107.3;37.1280276816609;Obesidade Classe 2
