Data da Venda,Ordem de Compra,SKU,ID Cliente,Qtd Vendida,ID Loja
2022-01-01,SO61285,HL216,23791,2,166
2022-01-01,SO61285,HL1,23791,1,93
2022-01-01,SO61285,HL227,23791,1,94
2022-01-01,SO61301,HL216,16747,2,17
2022-01-01,SO61301,HL89,16747,1,115
2022-01-01,SO61301,HL227,16747,1,95
2022-01-01,SO61269,HL2,11792,1,87
2022-01-01,SO61269,HL8,11792,1,183
2022-01-01,SO61286,HL215,11530,2,72
2022-01-01,SO61286,HL223,11530,2,131
2022-01-01,SO61298,HL217,18155,2,81
2022-01-01,SO61298,HL1,18155,1,74
2022-01-01,SO61298,HL6,18155,1,149
2022-01-01,SO61310,HL225,13541,2,32
2022-01-01,SO61310,HL271,13541,1,16
2022-01-01,SO61270,HL172,18259,2,115
2022-01-01,SO61289,HL215,23694,2,199
2022-01-01,SO61289,HL223,23694,2,199
2022-01-01,SO61289,HL2,23694,1,199
2022-01-01,SO61278,HL164,22308,2,199
2022-01-01,SO61278,HL166,22308,1,199
2022-01-01,SO61278,HL175,22308,1,308
2022-01-01,SO61278,HL267,22308,1,308
2022-01-01,SO61305,HL270,20236,1,308
2022-01-01,SO61283,HL216,26273,2,200
2022-01-01,SO61283,HL225,26273,2,200
2022-01-01,SO61283,HL5,26273,1,294
2022-01-01,SO61288,HL215,19709,2,299
2022-01-01,SO61288,HL223,19709,2,277
2022-01-01,SO61288,HL5,19709,1,276
2022-01-01,SO61272,HL167,21239,2,257
2022-01-01,SO61272,HL215,21239,2,281
2022-01-01,SO61276,HL6,17252,3,264
2022-01-01,SO61276,HL175,17252,1,268
2022-01-01,SO61294,HL164,17396,2,295
2022-01-01,SO61294,HL171,17396,2,269
2022-01-01,SO61274,HL6,27148,3,252
2022-01-01,SO61274,HL162,27148,1,294
2022-01-01,SO61307,HL2,20260,1,272
2022-01-01,SO61307,HL269,20260,1,292
2022-01-01,SO61279,HL172,12859,2,292
2022-01-01,SO61279,HL78,12859,1,268
2022-01-01,SO61271,HL225,20454,2,302
2022-01-01,SO61271,HL167,20454,1,307
2022-01-01,SO61295,HL167,14751,2,307
2022-01-01,SO61295,HL215,14751,2,307
2022-01-01,SO61284,HL167,27477,2,307
2022-01-01,SO61284,HL225,27477,2,307
2022-01-01,SO61290,HL165,23011,2,310
2022-01-01,SO61290,HL164,23011,1,310
2022-01-01,SO61280,HL1,11891,1,310
2022-01-01,SO61309,HL74,13625,1,306
2022-01-01,SO61309,HL170,13625,1,306
2022-01-01,SO61302,HL164,14486,2,306
2022-01-01,SO61302,HL165,14486,2,234
2022-01-01,SO61302,HL78,14486,1,201
2022-01-01,SO61277,HL6,15050,2,222
2022-01-01,SO61277,HL177,15050,1,304
2022-01-01,SO61277,HL281,15050,1,222
2022-01-01,SO61299,HL215,12411,2,234
2022-01-01,SO61299,HL224,12411,1,208
2022-01-01,SO61297,HL228,12627,3,224
2022-01-01,SO61297,HL164,12627,2,309
2022-01-01,SO61297,HL166,12627,2,309
2022-01-01,SO61297,HL217,12627,2,309
2022-01-01,SO61297,HL176,12627,1,309
2022-01-01,SO61306,HL164,23431,2,72
2022-01-01,SO61306,HL166,23431,2,58
2022-01-01,SO61306,HL267,23431,1,308
2022-01-01,SO61275,HL5,13996,1,253
2022-01-01,SO61282,HL167,11306,1,310
2022-01-01,SO61308,HL164,20246,2,294
2022-01-01,SO61308,HL166,20246,2,307
2022-01-01,SO61308,HL86,20246,1,309
2022-01-01,SO61300,HL164,13164,2,219
2022-01-01,SO61300,HL165,13164,2,309
2022-01-01,SO61300,HL172,13164,2,309
2022-01-01,SO61300,HL158,13164,1,186
2022-01-01,SO61293,HL164,18083,2,259
2022-01-01,SO61293,HL5,18083,1,26
2022-01-01,SO61293,HL9,18083,1,200
2022-01-01,SO61311,HL166,22466,2,199
2022-01-01,SO61311,HL293,22466,1,257
2022-01-01,SO61292,HL164,22012,2,200
2022-01-01,SO61292,HL165,22012,2,309
2022-01-01,SO61287,HL164,15760,2,202
2022-01-01,SO61287,HL165,15760,2,200
2022-01-01,SO61287,HL176,15760,1,307
2022-01-01,SO61296,HL172,14996,2,310
2022-01-01,SO61312,HL253,29082,1,278
2022-01-01,SO61273,HL164,23430,2,269
2022-01-01,SO61304,HL164,12473,2,300
2022-01-01,SO61304,HL166,12473,2,199
2022-01-01,SO61304,HL1,12473,1,308
2022-01-01,SO61304,HL247,12473,1,50
2022-01-01,SO61281,HL226,28808,3,82
2022-01-01,SO61303,HL5,13602,1,140
2022-01-01,SO61303,HL250,13602,1,11
2022-01-02,SO61367,HL164,11099,2,178
2022-01-02,SO61367,HL166,11099,1,283
2022-01-02,SO61367,HL176,11099,1,150
2022-01-02,SO61367,HL262,11099,1,92
2022-01-02,SO61315,HL6,15146,2,66
2022-01-02,SO61315,HL216,15146,2,189
2022-01-02,SO61315,HL5,15146,1,25
2022-01-02,SO61315,HL177,15146,1,104
2022-01-02,SO61315,HL226,15146,1,36
2022-01-02,SO61349,HL228,12563,3,11
2022-01-02,SO61349,HL2,12563,1,114
2022-01-02,SO61349,HL217,12563,1,111
2022-01-02,SO61355,HL7,12563,1,100
2022-01-02,SO61370,HL1,11464,1,60
2022-01-02,SO61370,HL248,11464,1,144
2022-01-02,SO61332,HL215,25967,2,3
2022-01-02,SO61332,HL222,25967,2,186
2022-01-02,SO61351,HL172,11201,2,10
2022-01-02,SO61351,HL1,11201,1,18
2022-01-02,SO61351,HL224,11201,1,170
2022-01-02,SO61365,HL1,20683,1,111
2022-01-02,SO61365,HL269,20683,1,67
2022-01-02,SO61320,HL164,28943,2,103
2022-01-02,SO61320,HL165,28943,2,59
2022-01-02,SO61320,HL1,28943,1,58
2022-01-02,SO61362,HL167,13648,2,127
2022-01-02,SO61362,HL76,13648,1,163
2022-01-02,SO61342,HL215,12497,3,99
2022-01-02,SO61342,HL167,12497,2,51
2022-01-02,SO61342,HL224,12497,1,124
2022-01-02,SO61358,HL172,14456,2,66
2022-01-02,SO61358,HL74,14456,1,172
2022-01-02,SO61358,HL159,14456,1,186
2022-01-02,SO61369,HL252,29084,1,189
2022-01-02,SO61319,HL216,20262,3,38
2022-01-02,SO61319,HL167,20262,2,102
2022-01-02,SO61319,HL225,20262,2,159
2022-01-02,SO61364,HL6,24684,2,160
2022-01-02,SO61364,HL249,24684,1,142
2022-01-02,SO61359,HL74,14420,1,51
2022-01-02,SO61343,HL153,22672,2,199
2022-01-02,SO61343,HL164,22672,1,199
2022-01-02,SO61333,HL223,11091,2,199
2022-01-02,SO61333,HL215,11091,1,308
2022-01-02,SO61316,HL223,21187,3,308
2022-01-02,SO61316,HL167,21187,1,308
2022-01-02,SO61313,HL6,11427,3,200
2022-01-02,SO61313,HL5,11427,1,200
2022-01-02,SO61313,HL270,11427,1,200
2022-01-02,SO61328,HL177,11684,1,200
2022-01-02,SO61330,HL216,24394,2,200
2022-01-02,SO61330,HL227,24394,1,276
2022-01-02,SO61339,HL172,14409,2,300
2022-01-02,SO61339,HL159,14409,1,268
2022-01-02,SO61352,HL224,12135,1,276
2022-01-02,SO61366,HL164,14185,2,298
2022-01-02,SO61366,HL166,14185,2,256
2022-01-02,SO61366,HL174,14185,1,281
2022-01-02,SO61366,HL251,14185,1,281
2022-01-02,SO61340,HL165,13737,3,307
2022-01-02,SO61340,HL172,13737,3,307
2022-01-02,SO61340,HL164,13737,2,307
2022-01-02,SO61340,HL167,13737,2,307
2022-01-02,SO61324,HL5,25445,1,307
2022-01-02,SO61324,HL267,25445,1,307
2022-01-02,SO61345,HL215,20135,3,310
2022-01-02,SO61345,HL1,20135,1,310
2022-01-02,SO61345,HL223,20135,1,310
2022-01-02,SO61325,HL154,21683,3,310
2022-01-02,SO61325,HL175,21683,1,310
2022-01-02,SO61325,HL270,21683,1,306
